Rank,TOP500 Rank,Name,Computer,Site,Manufacturer,Country,Year,Segment,Total Cores,Accelerator/Co-Processor Cores,Rmax [TFlop/s],Rpeak [TFlop/s],Power (kW),Power Source,Energy Efficiency [GFlops/Watts],Power Source.1,Power Quality Level,Optimized Run (HPL),Optimized Run (Peak Power),Memory,Architecture,Processor,Processor Technology,Processor Speed (MHz),Operating System,OS Family,Accelerator/Co-Processor,Cores per Socket,Processor Generation,System Model,System Family,Interconnect Family,Interconnect,Continent,Site ID,System ID,doc_date
115,100,Sawtooth,"HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR/HDR ",Idaho National Laboratory,HPE,United States,2019,Research,99792,-9999.0,5780.62,9220.608,1432.0,Submitted,4.03674581,-9999,1.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Platinum 8268 24C 2.9GHz,Intel Cascade lake,2900,RHEL 7.6,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR/HDR ,North America,47650,179708,2022-11-03
116,233,JFRS-1,"Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ","Rokkasho Fusion Institute, National Institutes for Quantum and Radiological Science and Technology",HPE,Japan,2018,Research,54560,-9999.0,2787.14,4190.208,697.51,Submitted,3.995842354,-9999,-9999.0,-9999.0,-9999.0,-9999.0,MPP,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,Cray Linux Environment ,Linux,None,20,Xeon Gold,Cray XC50,Cray XC,Custom Interconnect,Aries interconnect ,Asia,50767,179417,2022-11-03
117,88,MareNostrum,"Lenovo SD530, Xeon Platinum 8160 24C 2.1GHz, Intel Omni-Path",Barcelona Supercomputing Center,Lenovo,Spain,2017,Academic,153216,-9999.0,6470.8,10296.115,1632.0,Submitted,3.96495098,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,SUSE Linux,Linux,None,24,Xeon Platinum,ThinkSystem SD530,Lenovo ThinkSystem,Omnipath,Intel Omni-Path,Europe,49748,179067,2022-11-03
118,150,Niagara,"ThinkSystem SD530, Xeon Gold 6248 20C 2.5GHz, InfiniBand HDR100",SciNet/University of Toronto/Compute Canada,Lenovo,Canada,2017,Research,80640,-9999.0,3599.65999,6253.056,919.42,Submitted,3.915142144,-9999,1.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,CentOS,Linux,None,20,Xeon Gold,ThinkSystem SD530,Lenovo ThinkSystem,Infiniband,4xEDR Infiniband,North America,50206,179408,2022-11-03
119,466,-9999,"Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, 25G Ethernet",DJIT Company,Sugon,China,2019,Industry,48000,-9999.0,1833.0,3686.4,470.0,Submitted,3.9,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,CentOS,Linux,None,20,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50787,179733,2022-11-03
120,422,-9999,"Sugon TC6000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR",Chengdu SC Center,Sugon,China,2019,Industry,520000,-9999.0,1985.0,39936.0,510.0,Submitted,3.892156863,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,CentOS,Linux,None,20,Xeon Gold,Sugon TC6000,Sugon Cluster,Infiniband,Infiniband EDR,Asia,50815,179732,2022-11-03
121,424,Gaïa,"Bull intel Cluster, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",EDF,Atos,France,2018,Industry,41472,-9999.0,1980.53,3052.339,512.0,Submitted,3.868222656,-9999,1.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,Calibre OS,Linux,None,18,Xeon Gold,Bull intel Cluster,Bull Cluster,Omnipath,Intel Omni-Path,Europe,50679,179569,2022-11-03
122,330,Makman-3,"PowerEdge R440/C6320p, Intel Xeon Phi 7250/Xeon Gold 6130 16C 2.1GHz, Intel Omni-Path",Saudi Aramco,DELL EMC,Saudi Arabia,2018,Industry,53300,-9999.0,2322.46,3581.76,608.0,Submitted,3.819835526,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,RHEL 7.4,Linux,None,16,Xeon Gold,PowerEdge R440,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,Asia,48751,179437,2022-11-03
123,49,Tera-1000-2,"Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2",Commissariat a l'Energie Atomique (CEA),Atos,France,2017,Research,561408,-9999.0,11965.5,23396.352,3178.0,Submitted,3.765103839,-9999,2.0,-9999.0,-9999.0,-9999.0,Cluster,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,bullx SCS,Linux,None,68,Intel Xeon Phi,BullSequana X1000,BullSequana,Custom Interconnect,Bull BXI 1.2,Europe,47593,179412,2022-11-03
124,444,CTcluster,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",Telecom Company,Sugon,China,2018,Industry,54000,-9999.0,1928.0,3974.4,520.0,Submitted,3.707692308,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,CentOS,Linux,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50591,179535,2022-11-03
125,173,LLNL/NNSA CTS-1 MAGMA,"Relion Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path",Lawrence Livermore National Laboratory,Penguin Computing,United States,2019,Research,62400,-9999.0,3241.24,4592.64,887.0,Submitted,3.65416009,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Intel Xeon Platinum 9242 48C 2.3GHz,Intel Cascade lake,2300,Linux/TOSS,Linux,None,48,Xeon Platinum 92xx (Cascade Lake),Relion Cluster,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,48247,179774,2022-11-03
126,243,SNL/NNSA CTS-1 Attaway,"Tundra Extreme Scale, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path",Sandia National Laboratories,Penguin Computing,United States,2019,Research,52920,-9999.0,2724.52,3894.912,750.0,Submitted,3.632693333,-9999,2.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,Linux/TOSS,Linux,None,18,Xeon Gold,Tundra Extreme Scale,Penguin Computing Cluster,Omnipath,Intel Omni-Path,North America,48748,179777,2022-11-03
127,112,TX-GAIA (Green AI Accelerator),"Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path",MIT Lincoln Laboratory Supercomputing Center,HPE,United States,2019,Academic,88400,70720.0,5161.0,6981.4784,1436.0,Submitted,3.594011142,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6248 20C 2.5GHz,Intel Cascade lake,2500,CentOS Linux 7,Linux,NVIDIA Tesla V100,20,Xeon Gold 62xx (Cascade Lake),Apollo 2000,HPE Apollo,Omnipath,Intel Omni-Path,North America,48296,179603,2022-11-03
128,286,CLAIX (2018),"INTEL-HNS2600BPB, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",Universitaet Aachen/RWTH - IT Center,NEC,Germany,2018,Academic,61200,-9999.0,2483.58,4112.64,692.05,Submitted,3.588729138,-9999,1.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Platinum 8160  24C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,24,Xeon Platinum,INTEL-HNS2600BPB,NEC Cluster,Omnipath,Intel Omni-Path,Europe,50675,179682,2022-11-03
129,280,PAI-BSystem,"Sugon TC4600LP/W740I, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR, NVIDIA Tesla P100",China Meteorological Administration,Sugon,China,2018,Research,50816,2688.0,2547.0,4229.8496,710.0,Submitted,3.587323944,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,2600,RHEL 7.3,Linux,NVIDIA Tesla P100,16,Xeon Gold,Sugon TC4600LP,Sugon Cluster,Infiniband,Infiniband EDR,Asia,47551,179440,2022-11-03
130,45,Cori,"Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ",DOE/SC/LBNL/NERSC,HPE,United States,2016,Research,622336,-9999.0,14014.7,27880.653,3939.0,Submitted,3.557933486,-9999,-9999.0,-9999.0,-9999.0,-9999.0,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,48429,178924,2022-11-03
131,128,CRONOS,"BullSequana X, Xeon Platinum 8260 24C 2.4GHz, Infiniband HDR",EDF,Atos,France,2020,Industry,81600,-9999.0,4299.33,7136.87,1225.53,Submitted,3.508139336,-9999,1.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Platinum 8260 24C 2.4GHz,Intel Cascade lake,2400,Linux,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),BullSequana X,BullSequana,Infiniband,Infiniband HDR,Europe,50679,179899,2022-11-03
132,471,scafellpike,"Bull Sequana X1000, Intel Xeon Phi 7210 64C 1.3GHz/Xeon Gold 6142, Mellanox EDR",Science and Technology Facilities Council,Atos,United Kingdom,2017,Research,80640,-9999.0,1829.86,4329.728,529.0,Submitted,3.459092628,-9999,2.0,-9999.0,-9999.0,-9999.0,Cluster,Intel Xeon Phi 7210 64C 1.3GHz,Intel Xeon Phi,1300,bullx SCS,Linux,None,64,Intel Xeon Phi,BullSequana X1000,BullSequana,Infiniband,Infiniband EDR,Europe,50732,179163,2022-11-03
133,410,-9999,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",Telecom Company,Sugon,China,2019,Industry,55440,-9999.0,2026.0,4080.384,590.0,Submitted,3.433898305,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,CentOS,Linux,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50591,179785,2022-11-03
134,103,COBRA,"Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path",Max-Planck-Gesellschaft MPI/IPP,Intel,Germany,2018,Research,127520,-9999.0,5612.83,9793.536,1635.0,Submitted,3.432923547,-9999,1.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,SUSE Linux Enterprise Server 12 SP1,Linux,None,20,Xeon Gold,Intel Compute Module HNS2600BP,Intel Cluster,Omnipath,Intel Omni-Path,Europe,48331,179423,2022-11-03
135,439,-9999,"Sugon TC6000, Xeon Gold 6140 18C 2.3GHz, 10G Ethernet",State Grid Corp,Sugon,China,2019,Industry,53280,-9999.0,1952.0,3921.408,570.0,Submitted,3.424561404,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6140 18C 2.3GHz,Intel Skylake,2300,CentOS,Linux,None,18,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50610,179786,2022-11-03
136,10,Tianhe-2A,"TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000",National Super Computer Center in Guangzhou,NUDT,China,2018,Research,4981760,4554752.0,61444.5,100678.664,18482.0,Submitted,3.32455903,-9999,1.0,-9999.0,-9999.0,-9999.0,Cluster,Intel Xeon E5-2692v2 12C 2.2GHz,Intel IvyBridge,2200,Kylin Linux,Linux,Matrix-2000,12,Intel Xeon E5 (IvyBridge),TH-IVB-FEP Cluster,TH-IVB Cluster,Custom Interconnect,TH Express-2,Asia,50365,177999,2022-11-03
137,268,Cedar (CPU),"PowerEdge C6420, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path",Simon Fraser University/Compute Canada,ACTION,Canada,2020,Academic,67584,-9999.0,2607.98,4895.539,792.0,Submitted,3.29290404,-9999,1.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Platinum 8260 24C 2.4GHz,Intel Cascade lake,2400,CentOS,Linux,None,24,Xeon Platinum 82xx (Cascade Lake),PowerEdge C6420,Dell PowerEdge Cluster,Omnipath,Intel Omni-Path,North America,50722,179858,2022-11-03
138,294,PAI-ASystem,"Sugon TC4600, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR",China Meteorological Administration,Sugon,China,2017,Research,48128,-9999.0,2435.0,4004.25,740.0,Submitted,3.290540541,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6142 16C 2.6GHz,Intel Skylake,2600,Linux,Linux,None,16,Xeon Gold,Sugon TC4600,Sugon Cluster,Infiniband,Infiniband EDR,Asia,47551,179425,2022-11-03
139,487,Molecular Simulator,"NEC LX Cluster, Xeon Gold 6148/6154, Intel Omni-Path",Institute for Molecular Science,NEC,Japan,2017,Research,38552,-9999.0,1785.62,3072.768,544.48,Submitted,3.279496033,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,CentOS,Linux,None,20,Xeon Gold,NEC LX Cluster,NEC Cluster,Omnipath,Intel Omni-Path,Asia,48473,179173,2022-11-03
140,105,Electra,"HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB",NASA/Ames Research Center/NAS,HPE,United States,2018,Research,124416,-9999.0,5444.64,8316.518,1685.73,Submitted,3.229841078,-9999,1.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6148 20C 2.4GHz,Intel Skylake,2400,SLES12 SP2,Linux,None,20,Xeon Gold,HPE SGI 8600,HPE SGI 8600,Infiniband,Infiniband EDR,North America,48408,179589,2022-11-03
141,441,-9999,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",IT Service Provider,Sugon,China,2019,Industry,58112,-9999.0,1934.0,3905.126,630.0,Submitted,3.06984127,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50741,179736,2022-11-03
142,464,bsystem,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,55040,-9999.0,1838.0,3698.688,600.0,Submitted,3.063333333,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50743,179670,2022-11-03
143,476,-9999,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 10G Ethernet",IT Service Provider,Sugon,China,2019,Industry,44100,-9999.0,1824.0,3669.12,600.0,Submitted,3.04,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600,CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,10G Ethernet,Asia,50709,179735,2022-11-03
144,451,-9999,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,56800,-9999.0,1896.0,3816.96,625.0,Submitted,3.0336,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50761,179737,2022-11-03
145,479,-9999,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Government Agency (S),Sugon,China,2019,Government,54240,-9999.0,1815.0,3644.928,600.0,Submitted,3.025,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50824,179787,2022-11-03
146,449,-9999,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet",DJIT Company,Sugon,China,2019,Industry,46200,-9999.0,1901.0,3843.84,630.0,Submitted,3.017460317,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600,CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50787,179734,2022-11-03
147,437,-9999,"Sugon TC6000, Xeon Gold 6132 14C 2.6GHz, 25G Ethernet",Telecom Company,Sugon,China,2019,Industry,47600,-9999.0,1955.0,3960.32,650.0,Submitted,3.007692308,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6132 14C 2.6GHz,Intel Skylake,2600,CentOS,Linux,None,14,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50591,179784,2022-11-03
148,434,Mogon II,"NEC Cluster, Xeon Gold 6130 16C 2.1GHz, MEGWARE MiriQuid Xeon E5-2630v4, Intel Omni-Path",Universitaet Mainz,NEC/MEGWARE,Germany,2017,Academic,49432,-9999.0,1967.81,2800.86998,657.0,Submitted,2.995144597,-9999,2.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,16,Xeon Gold,NEC Cluster,NEC Cluster,Omnipath,Intel Omni-Path,Europe,49102,178930,2022-11-03
149,427,bsystem,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,60800,-9999.0,1976.0,4085.76,660.0,Submitted,2.993939394,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50743,179671,2022-11-03
150,357,-9999,"Sugon TC6000, Xeon Gold 6130 16C 2.1GHz, 25G Ethernet",Internet Company,Sugon,China,2019,Industry,67200,-9999.0,2192.0,4515.84,740.0,Submitted,2.962162162,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6130 16C 2.1GHz,Intel Skylake,2100,CentOS,Linux,None,16,Xeon Gold,Sugon TC6000,Sugon Cluster,Gigabit Ethernet,25G Ethernet,Asia,50743,179672,2022-11-03
151,293,Centennial,"SGI ICE XA, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR",US Army Research Laboratory (ARL),HPE,United States,2017,Research,73920,-9999.0,2443.7,2601.984,835.0,Submitted,2.926586826,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon E5-2698v4 20C 2.2GHz,Intel Broadwell,2200,RHEL 7.2,Linux,None,20,Intel Xeon E5 (Broadwell),SGI ICE XA,SGI ICE,Infiniband,Infiniband EDR,North America,49039,179105,2022-11-03
152,172,Damson,"Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",AWE,Atos,United Kingdom,2017,Research,113832,-9999.0,3243.41,3791.5776,1134.0,Submitted,2.860149912,-9999,2.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,bullx SCS,Linux,None,18,Intel Xeon E5 (Broadwell),BullSequana X1000,BullSequana,Infiniband,Infiniband EDR,Europe,47363,179409,2022-11-03
153,143,Pratyush,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Indian Institute of Tropical Meteorology,HPE,India,2018,Research,119232,-9999.0,3763.94,4006.195,1353.23,Submitted,2.78144883,-9999,-9999.0,-9999.0,-9999.0,-9999.0,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,50296,179416,2022-11-03
154,118,Cheyenne,"SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR",National Center for Atmospheric Research (NCAR),HPE,United States,2016,Research,144900,-9999.0,4788.19,5332.32,1727.0,Submitted,2.772547771,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon E5-2697v4 18C 2.3GHz,Intel Broadwell,2300,SUSE Linux Enterprise Server 12 SP1,Linux,None,18,Intel Xeon E5 (Broadwell),SGI ICE XA,SGI ICE,Infiniband,Infiniband EDR,North America,48418,178965,2022-11-03
155,204,Mistral,"bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz/E5-2695V4 18C  2.1Ghz, Infiniband FDR",DKRZ - Deutsches Klimarechenzentrum,Atos,Germany,2015,Research,99072,-9999.0,3010.68,3962.88,1116.0,Submitted,2.697741935,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon E5-2680v3 12C 2.5GHz,Intel Haswell,2500,Bullx Linux,Linux,None,12,Intel Xeon E5 (Haswell),bullx DLC 720,Bull Bullx,Infiniband,Infiniband FDR,Europe,47642,178567,2022-11-03
156,277,Mihir,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",National Centre for Medium Range Weather Forecasting,HPE,India,2018,Research,83592,-9999.0,2570.4,2808.691,954.73,Submitted,2.692279493,-9999,-9999.0,-9999.0,-9999.0,-9999.0,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Asia,50235,179418,2022-11-03
157,27,Trinity,"Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect",DOE/NNSA/LANL/SNL,HPE,United States,2017,Research,979072,-9999.0,20158.7,41461.15,7578.1,Submitted,2.660125889,-9999,-9999.0,-9999.0,-9999.0,-9999.0,MPP,Intel Xeon Phi 7250 68C 1.4GHz,Intel Xeon Phi,1400,Cray Linux Environment ,Linux,None,68,Intel Xeon Phi,Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,North America,50334,178610,2022-11-03
158,447,-9999,"Huawei 2288H V5, Xeon Gold 6150 18C 2.7GHz, 10G Ethernet",Energy Company,xFusion,China,2018,Industry,49680,-9999.0,1914.38,4292.352,732.78,Submitted,2.612489424,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon Gold 6150 18C 2.7GHz,Intel Skylake,2700,Linux,Linux,None,18,Xeon Gold,Huawei 2288H V5,Huawei Cluster,Gigabit Ethernet,10G Ethernet,Asia,50417,179595,2022-11-03
159,177,HPC2,"iDataPlex DX360M4, Intel Xeon E5-2680v2  10C 2.8GHz, Infiniband FDR, NVIDIA K20x",Eni S.p.A.,IBM,Italy,2014,Industry,72000,42000.0,3188.0,4605.0,1227.0,Submitted,2.598207009,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Intel Xeon E5-2680v2  10C 2.8GHz,Intel IvyBridge,2800,Linux,Linux,NVIDIA Tesla K20x,10,Intel Xeon E5 (IvyBridge),iDataPlex DX360M4,IBM iDataPlex,Infiniband,Infiniband FDR,Europe,50489,178425,2022-11-03
160,450,Piz Daint Multicore,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",Swiss National Supercomputing Centre (CSCS),HPE,Switzerland,2016,Research,65268,-9999.0,1896.75,2193.005,732.4,Submitted,2.589773348,-9999,3.0,-9999.0,-9999.0,-9999.0,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,50422,178451,2022-11-03
161,153,-9999,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,HPE,United States,2015,Government,72800,62400.0,3577.0,6131.84,1498.9,Submitted,2.386416706,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,2200,Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,50046,178519,2022-11-03
162,152,-9999,"Cray CS-Storm, Intel Xeon E5-2660v2 10C 2.2GHz, Infiniband FDR, Nvidia K40",Government,HPE,United States,2014,Government,72800,62400.0,3577.0,6131.84,1498.9,Submitted,2.386416706,-9999,-9999.0,-9999.0,-9999.0,-9999.0,Cluster,Xeon E5-2660v2 10C 2.2GHz,Intel IvyBridge,2200,Linux,Linux,NVIDIA Tesla K40,10,Intel Xeon E5 (IvyBridge),Cray CS-Storm,Cray CS-Storm,Infiniband,Infiniband FDR,North America,50046,178445,2022-11-03
163,134,Abel,"Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect ",Petroleum Geo-Services,HPE,United States,2015,Industry,145920,-9999.0,4042.46,5369.856,1800.0,Submitted,2.245811111,-9999,-9999.0,-9999.0,-9999.0,-9999.0,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC30,Cray XC,Custom Interconnect,Aries interconnect ,North America,48602,178556,2022-11-03
164,485,Beskow,"Cray XC40, Xeon E5-2695v4/E5-2698v3 16C 2.3GHz, Aries interconnect ",KTH - Royal Institute of Technology,HPE,Sweden,2017,Academic,67456,-9999.0,1802.51,2438.14,842.0,Submitted,2.140748219,-9999,-9999.0,-9999.0,-9999.0,-9999.0,MPP,Xeon E5-2698v3 16C 2.3GHz,Intel Haswell,2300,Cray Linux Environment ,Linux,None,16,Intel Xeon E5 (Haswell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,48188,178448,2022-11-03
165,137,-9999,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",ECMWF,HPE,United Kingdom,2016,Research,126468,-9999.0,3944.68,4249.325,1897.02,Submitted,2.079408757,-9999,-9999.0,-9999.0,-9999.0,-9999.0,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,47752,178431,2022-11-03
166,138,-9999,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ",ECMWF,HPE,United Kingdom,2016,Research,126468,-9999.0,3944.68,4249.325,1897.02,Submitted,2.079408757,-9999,-9999.0,-9999.0,-9999.0,-9999.0,MPP,Xeon E5-2695v4 18C 2.1GHz,Intel Broadwell,2100,Cray Linux Environment ,Linux,None,18,Intel Xeon E5 (Broadwell),Cray XC40,Cray XC,Custom Interconnect,Aries interconnect ,Europe,47752,178749,2022-11-03
